unique_id,timestamp,msg
a1f5846d-7e97-4ce2-9879-1ff4f7e966b8,1599541473.3642724,loading invoices-2019-08.json
a0583820-235a-416f-8228-7b4fd6714ab3,1599541477.8285122,loading invoices-2019-09.json
812276ca-62cb-4084-91bb-4c87f176599c,1599541481.522466,loading invoices-2019-10.json
b5f900a1-e1a8-4415-8b1e-538092037300,1599541486.3787782,loading invoices-2019-11.json
acbe6ead-5e35-4b4c-a682-b7c233367b53,1599541492.6088183,loading invoices-2019-12.json
ba71cfa9-3cb6-4bff-b7e9-eabf9414b182,1599541494.0692701,252359 items loaded
dc9f69da-1b84-4248-86b5-b495e89c2a30,1599541515.7184575,252359 items converted to time series
360ee18e-fa88-46c0-b7af-7130336f3cb1,1599541519.694832,...unsuccessful insert: __enter__
95da1a18-c2a0-4495-a8cc-f8e7674ebb19,1599541649.5906422,loading invoices-2019-08.json
742a6384-c501-4c40-8ef5-31459890e8f4,1599541655.0574894,loading invoices-2019-09.json
82fd0bf9-6ce0-46ba-b515-003645eb0668,1599541659.764265,loading invoices-2019-10.json
9b141d21-75e4-4bf6-bf99-f48c0f165c5c,1599541664.70284,loading invoices-2019-11.json
9d0616f9-f50c-460f-9bbf-71a1cc7f199b,1599541671.2028852,loading invoices-2019-12.json
1c86b68d-7ed6-4965-afb9-61a8dc884976,1599541672.7675066,252359 items loaded
ae224432-69dd-4ea2-86db-7b7258e28bfa,1599541695.350852,252359 items converted to time series
d2e156ba-b8c8-4378-8181-b8b816778055,1599541712.5450108,loading invoices-2019-08.json
8ee5380a-a671-48ab-9061-eeeef6d53a34,1599541717.8904283,loading invoices-2019-09.json
4116093e-3e34-40f9-8e00-1720156a7420,1599541722.4822302,loading invoices-2019-10.json
cc4b0b77-da2c-4065-99d9-bf6fb8fe9a17,1599541727.319766,loading invoices-2019-11.json
11e9bb50-48b7-4659-9087-623e7eb2afba,1599541733.6998694,loading invoices-2019-12.json
816672bd-7666-41a5-b05a-d2755d974510,1599541735.2665973,252359 items loaded
de5461ba-9ba6-422e-9c20-474821bdbeb3,1599541758.171041,252359 items converted to time series
9f531dad-d0fe-4c5b-858a-ab0a0a4f4b72,1599541762.0803633,...unsuccessful insert: __enter__
2e019153-ea84-4204-8b32-c39d50f32b85,1599541780.4599583,loading invoices-2019-08.json
248f4212-6107-46b2-88a0-9058ab0616cd,1599541784.2579744,loading invoices-2019-09.json
b5c216ea-10e7-41c4-8612-3a5b77b0f4aa,1599541788.0337074,loading invoices-2019-10.json
34442fd1-7741-4647-ab49-54c2f2a5a33d,1599541793.1564522,loading invoices-2019-11.json
019c3a5f-3c8d-445d-bbfb-c0b084040c6e,1599541799.6958945,loading invoices-2019-12.json
7b45dc5b-6b41-4660-9c8e-860c731a8b17,1599541801.1959538,252359 items loaded
ef892dcb-e698-4764-b82e-b81c305520d3,1599541829.1382544,loading invoices-2019-08.json
82159b43-e8c1-466d-a8b5-0ac81f4fcb78,1599541833.4498684,loading invoices-2019-09.json
121886f9-8f12-4dcd-852a-0120b27e3c40,1599541837.2963452,loading invoices-2019-10.json
66425ae8-4740-47be-8ba5-d9d4480becb4,1599541842.2806976,loading invoices-2019-11.json
6515b3a4-bae7-458b-baab-1590dbb838fd,1599541848.6415734,loading invoices-2019-12.json
e3e55290-ca4f-45ba-9e09-1ff9fc0865a7,1599541850.1285782,252359 items loaded
cd855b96-d1c1-495d-ae47-5f5a4d9faa50,1599541871.4385092,252359 items converted to time series
8de9b467-00b3-4007-b0e3-3f93bbc06379,1599541875.6170952,...unsuccessful insert: __enter__
25e755f2-928b-4f2a-848a-c007d88b289e,1599541940.1143627,loading invoices-2019-08.json
7873cf75-6289-44bb-878b-a477dd6e8d10,1599541944.244101,loading invoices-2019-09.json
1567cd11-ff8f-4060-8e51-fab3ef536745,1599541947.9478095,loading invoices-2019-10.json
61ee66f9-2281-4bea-8958-543e9229f55b,1599541953.0947843,loading invoices-2019-11.json
61789dac-c4dc-4f2c-93d1-dc3006d98b84,1599541960.096566,loading invoices-2019-12.json
ad5d4e1d-9ed6-4f72-a6ea-d9cf67ceeb55,1599541961.559448,252359 items loaded
7e819ebb-1c6b-42db-b188-87a639615548,1599541984.8579934,252359 items converted to time series
fd1c07b9-ca5e-454f-9c4b-dd3df7c0604c,1599541989.1628764,...unsuccessful insert: __enter__
c53cb1f7-0c42-44ee-8567-d2ab6199a1ef,1599542013.9345603,loading invoices-2019-08.json
4ecac4e6-3bea-4fb7-b82f-d7d42ad770dc,1599542018.0579472,loading invoices-2019-09.json
f405b353-8aa3-44b9-b199-538b507146ec,1599542021.7009964,loading invoices-2019-10.json
c02e66ee-f7f0-437f-bf23-39eb8750d2ea,1599542026.5583615,loading invoices-2019-11.json
8226375f-bf46-443b-9902-2c7974a43974,1599542032.8420284,loading invoices-2019-12.json
79b169e8-c90a-4dd0-85c6-6c889460f8f6,1599542034.2999842,252359 items loaded
33652b98-58ea-40e6-8d33-5fddb70bd2b0,1599542057.8770008,252359 items converted to time series
e4e42c9c-9c30-4c1c-8465-43e0c96a9409,1599542077.8618803,loading invoices-2019-08.json
1380b987-37f0-4cc9-8b11-ff883f9cdc39,1599542082.1043925,loading invoices-2019-09.json
940e34ad-4ae4-448c-8540-792e984ac4c0,1599542085.8142157,loading invoices-2019-10.json
1b08518f-3996-4015-a829-92c745f15229,1599542090.7613897,loading invoices-2019-11.json
26dbe8ec-7634-49cc-8648-67db639b2757,1599542097.309609,loading invoices-2019-12.json
86f62f12-9b3d-46fd-9ca0-aed13bbe6b71,1599542098.7895687,252359 items loaded
27b948a7-5be1-443c-b379-41f5c687a93e,1599542122.577101,252359 items converted to time series
